319062;Полотенцесушитель электрический Terminus Классик 32/20 П6;http://santehnika-online.ru/upload/resize_cache/iblock/eb6/732_722_1/POLOTENCESUSHITELI_TERMINUS_KLASSIK__N000219062_1.JPG;Тип: электрический;Подключение: электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 87;Ширина, см: 48.2;Высота, см: 60;Глубина, см: 13;Гарантия (лет): 10 лет;Область применения: бытовая;Страна производитель: Россия;Количество секций: 6;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Тип шва: контактная сварка;Напряжение, В: 220 В, 230;Теплоноситель: сухой;Терморегулятор: есть;Комплектация: нагревательный кабель, электрический кабель;Функция обогрева помещения: нет;Поворотный: нет;;;;;;
110828;Полотенцесушитель электрический Energy G ERGO 80x50;http://santehnika-online.ru/upload/iblock/dad/ENERGY___10828_1.JPG;Тип: электрический;Подключение: скрытое электрическое соединение, электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 77;Ширина, см: 50;Высота, см: 80;Глубина, см: 10;Гарантия (лет): 2 года;Область применения: бытовая;Страна производитель: Великобритания;Количество секций: 9;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Напряжение, В: 220 В;Теплоноситель: сухой;Электровыключатель: есть;Комплектация: крепления, нагревательный кабель, световой индикатор, электрический кабель;Дополнительная информация: подключение расположены справа снизу;Терморегулятор: нет;Поворотный: нет;;;;;;
319059;Полотенцесушитель электрический Terminus Классик 32/20 П4;http://santehnika-online.ru/upload/iblock/6ff/POLOTENCESUSHITELI_TERMINUS_KLASSIK__N000219059_2.JPG;Тип: электрический;Подключение: электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 67;Ширина, см: 48.2;Высота, см: 50;Глубина, см: 13;Гарантия (лет): 10 лет;Область применения: бытовая;Страна производитель: Россия;Количество секций: 4;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Тип шва: контактная сварка;Напряжение, В: 220 В, 230;Теплоноситель: сухой;Терморегулятор: есть;Комплектация: нагревательный кабель, электрический кабель;Функция обогрева помещения: нет;Поворотный: нет;;;;;;
217428;Полотенцесушитель водяной Tera Ребро-эк 50х80;http://santehnika-online.ru/upload/iblock/c1a/tera_rebroek__n000117428_3.JPG;Артикул: ПСВ-61-05 (421922);Тип: водяной;Подключение: к системе горячего водоснабжения, к системе центрального отопления;Материал корпуса: нержавеющая сталь;Ширина, см: 54;Высота, см: 80;Глубина, см: 11;Гарантия (лет): 5 лет;Площадь обогрева, м2: 4;Область применения: бытовая;Страна производитель: Россия;Количество секций: 6;Форма: лесенка;Цвет: хром;Угловая конструкция: нет;Монтаж: подвесной;Межосевое расстояние: 50;Направление подключения: горизонтальное;Теплоноситель: вода;Рабочее давление, атм: 10;"Дополнительная информация: диаметр резьбового соединения - 1""";Поворотный: нет;;;;;;;
110920;Полотенцесушитель водяной Energy Prestige Modus 80x50;http://santehnika-online.ru/upload/iblock/084/energy_prestige_modus_800_500.jpg;Тип: водяной;Подключение: к системе горячего водоснабжения, к системе центрального отопления;Материал корпуса: нержавеющая сталь;Ширина, см: 53;Высота, см: 83;Глубина, см: 25.5;Гарантия (лет): 5 лет;Область применения: бытовая;Страна производитель: Россия;Количество секций: 11;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Межосевое расстояние: 50;Направление подключения: горизонтальное, вертикальное, диагональное;Теплоноситель: вода;Комплектация: крепления, полка;Терморегулятор: нет;Поворотный: нет;;;;;;;;
319097;Полотенцесушитель электрический Terminus Евромикс 32/20 П8;http://santehnika-online.ru/upload/iblock/ae6/POLOTENCESUSHITELI_TERMINUS_EVROMIKS__N000219097_2.JPG;Тип: электрический;Подключение: электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 135;Ширина, см: 53.2;Высота, см: 80;Глубина, см: 15.5;Гарантия (лет): 10 лет;Область применения: бытовая;Страна производитель: Россия;Количество секций: 8;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Тип шва: контактная сварка;Напряжение, В: 220 В, 230;Теплоноситель: сухой;Терморегулятор: есть;Комплектация: нагревательный кабель, электрический кабель;Функция обогрева помещения: нет;Поворотный: нет;;;;;;
319089;Полотенцесушитель электрический Terminus Виктория 32/20 П7;http://santehnika-online.ru/upload/iblock/585/POLOTENCESUSHITELI_TERMINUS_VIKTORIYA__N000219089_2.JPG;Тип: электрический;Подключение: электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 103;Ширина, см: 48.2;Высота, см: 70;Глубина, см: 14.5;Гарантия (лет): 10 лет;Область применения: бытовая;Страна производитель: Россия;Количество секций: 7;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Тип шва: контактная сварка;Напряжение, В: 220 В, 230;Теплоноситель: сухой;Терморегулятор: есть;Комплектация: нагревательный кабель, электрический кабель;Функция обогрева помещения: нет;Поворотный: нет;;;;;;
110829;Полотенцесушитель электрический Energy G ERGO 60x50;http://santehnika-online.ru/upload/resize_cache/iblock/aa7/732_722_1/POLOTENCESUSHITELI_ENERGY___10829_6.JPG;Тип: электрический;Подключение: скрытое электрическое соединение, электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 55;Ширина, см: 50;Высота, см: 60;Глубина, см: 10;Гарантия (лет): 2 года;Область применения: бытовая;Страна производитель: Великобритания;Количество секций: 6;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Напряжение, В: 220 В;Теплоноситель: сухой;Электровыключатель: есть;Комплектация: крепления, нагревательный кабель, световой индикатор, электрический кабель;Терморегулятор: нет;Поворотный: нет;;;;;;;
110821;Полотенцесушитель электрический Energy H-G6;http://santehnika-online.ru/upload/resize_cache/iblock/9eb/732_722_1/POLOTENCESUSHITELI_ENERGY___10821_4.JPG;Тип: электрический;Подключение: скрытое электрическое соединение, электропровод с вилкой;Материал корпуса: нержавеющая сталь;Мощность, Вт: 45;Ширина, см: 50;Высота, см: 80;Глубина, см: 14.4;Гарантия (лет): 2 года;Область применения: бытовая;Страна производитель: Великобритания;Количество секций: 5;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Напряжение, В: 220 В;Теплоноситель: сухой;Электровыключатель: есть;Комплектация: крепления, нагревательный кабель, световой индикатор, электрический кабель;Терморегулятор: нет;Поворотный: нет;;;;;;;
119700;Полотенцесушитель водяной Margaroli Sole 442-4 хром;http://santehnika-online.ru/upload/resize_cache/iblock/6d5/732_722_1/POLOTENCESUSHITELI_MARGAROLI_SOLE_HROM_19700_4.JPG;Артикул: 4424704CRN;Тип: водяной;Подключение: к системе горячего водоснабжения, к системе центрального отопления;Материал корпуса: латунь;Ширина, см: 53.5;Высота, см: 72;Глубина, см: 13.5;Гарантия (лет): 1 год;Область применения: бытовая;Страна производитель: Италия;Количество секций: 4;Форма: лесенка;Цвет: хром;Цвет креплений: хром;Угловая конструкция: нет;Монтаж: подвесной;Межосевое расстояние: 47;Направление подключения: горизонтальное;Комплектация: крепления;Терморегулятор: нет;Поворотный: нет;;;;;;;;
